-1.06	0.06	0.53
-1.08	0.09	0.54
-1.10	0.11	0.54
-1.12	0.11	0.53
-1.14	0.09	0.53
-1.17	0.07	0.53
-1.20	0.05	0.52
-1.23	0.06	0.47
-1.26	0.07	0.41
-1.28	0.08	0.34
-1.30	0.08	0.31
-1.28	0.04	0.32
-1.25	-0.04	0.38
-1.23	-0.13	0.47
-1.23	-0.20	0.47
-1.26	-0.25	0.34
-1.28	-0.34	0.15
-1.28	-0.46	-0.04
-1.26	-0.59	-0.19
-1.24	-0.70	-0.29
-1.22	-0.75	-0.36
-1.22	-0.75	-0.43
-1.28	-0.85	-0.52
-1.32	-1.14	-0.57
-1.37	-1.62	-0.52
-1.39	-2.16	-0.37
-1.28	-2.55	-0.05
-1.06	-2.71	0.37
-0.78	-2.72	0.70
-0.48	-2.66	0.72
-0.15	-2.55	0.44
0.23	-2.36	0.14
0.67	-2.05	-0.01
1.08	-1.51	-0.04
1.52	-0.64	-0.06
2.03	0.50	-0.13
2.49	1.94	-0.39
2.48	3.34	-0.57
1.64	3.95	-0.42
0.37	4.00	-0.35
-0.82	4.00	-0.69
-1.60	4.00	-1.64
-1.53	4.00	-2.36
-0.74	3.66	-2.06
0.14	2.57	-1.33
0.67	1.40	-0.68
0.86	0.78	-0.38
0.82	0.43	-0.39
0.64	0.15	-0.50
0.39	-0.10	-0.57
0.24	-0.30	-0.48
0.15	-0.45	-0.36
0.05	-0.46	-0.32
-0.02	-0.34	-0.29
-0.08	-0.19	-0.27
-0.19	-0.13	-0.31
-0.43	-0.14	-0.44
-0.75	-0.19	-0.52
-0.94	-0.27	-0.46
-0.98	-0.43	-0.34
-0.95	-0.53	-0.26
-0.95	-0.38	-0.28
-0.97	-0.04	-0.39
-0.98	0.25	-0.51
-0.95	0.33	-0.62
-0.92	0.14	-0.66
-0.84	-0.20	-0.53
-0.72	-0.50	-0.29
-0.63	-0.73	-0.15
-0.66	-0.82	-0.16
-0.73	-0.69	-0.25
-0.83	-0.42	-0.29
-0.93	-0.26	-0.17
-0.98	-0.31	0.13
-0.97	-0.46	0.47
-0.95	-0.58	0.70
-0.96	-0.63	0.79
-1.01	-0.57	0.79
-1.06	-0.46	0.74
-1.10	-0.39	0.66
-1.13	-0.38	0.54
-1.14	-0.36	0.44
-1.15	-0.32	0.35
-1.17	-0.27	0.28
-1.19	-0.23	0.27
-1.20	-0.19	0.33
-1.22	-0.17	0.41
-1.22	-0.14	0.50
-1.21	-0.11	0.59
-1.19	-0.12	0.66
-1.15	-0.13	0.71
-1.12	-0.13	0.73
-1.10	-0.13	0.70
-1.08	-0.13	0.65
-1.05	-0.15	0.59
-1.04	-0.16	0.52
-1.03	-0.15	0.44
-1.02	-0.12	0.38
-1.00	-0.08	0.36
-0.97	-0.05	0.34
-0.94	-0.07	0.35
-0.90	-0.10	0.37
-0.87	-0.12	0.40
-0.86	-0.10	0.42
-0.86	-0.08	0.44
-0.86	-0.05	0.45
-0.88	-0.01	0.46
-0.91	0.01	0.45
-0.92	0.03	0.43
-0.94	0.04	0.40
-0.95	0.03	0.38
-0.95	0.03	0.40
-0.94	0.04	0.44
-0.93	0.02	0.48
-0.91	-0.00	0.50
-0.90	-0.01	0.53
-0.90	0.01	0.54
-0.90	0.03	0.54
-0.90	0.03	0.51
-0.90	0.05	0.47
-0.91	0.07	0.42
-0.91	0.05	0.39
-0.89	0.00	0.37
-0.87	-0.03	0.35
-0.85	-0.05	0.35
-0.83	-0.06	0.36
-0.83	-0.04	0.38
-0.84	-0.01	0.39
-0.85	0.00	0.41
-0.86	0.01	0.41
-0.88	0.02	0.42
-0.90	0.02	0.42
-0.90	0.02	0.43
-0.91	0.01	0.44
-0.91	0.01	0.43
-0.92	0.02	0.42
-0.92	0.03	0.42
